Time elapsed was 31804ns or 0.000031804s,,31804,,3.1804E-05
Time elapsed was 33391ns or 0.000033391s,,33391,,3.3391E-05
Time elapsed was 206850ns or 0.000206850s,,206850,,0.00020685
Time elapsed was 29710ns or 0.000029710s,,29710,,2.971E-05
Time elapsed was 29482ns or 0.000029482s,,29482,,2.9482E-05
Time elapsed was 30630ns or 0.000030630s,,30630,,3.063E-05
Time elapsed was 193683ns or 0.000193683s,,193683,,0.000193683
Time elapsed was 29598ns or 0.000029598s,,29598,,2.9598E-05
Time elapsed was 30005ns or 0.000030005s,,30005,,3.0005E-05
Time elapsed was 31105ns or 0.000031105s,,31105,,3.1105E-05
,,,,
,,64625.8,,6.46258E-05
